Onion Stalks,OTHER VEGETABLES,87.6,0.9,0.2,0.8,1.6,8.9,41,50,50,7.43,595,0,0.03,0.3,0 ,0,0,17
Papaya Green,OTHER VEGETABLES,92,0.7,0.2,0.5,0.9,5.7,27,28,40,0.9,0,0.01,0.01,0.1,0 ,0,0,12
Parwar,OTHER VEGETABLES,92,2,0.3,0.5,3,2.2,20,30,40,1.7,153,0.05,0.06,0.5,0 ,0,0,29
Pink Beans,OTHER VEGETABLES,86.8,3.1,0.4,0.6,2.1,7,44,54,70,1.5,453,0.06,0.02,0.6,0 ,0,0,12
Plantain Flower,OTHER VEGETABLES,89.9,1.7,0.7,1.3,1.3,5.1,34,32,42,1.6,27,0.05,0.02,0.4,0 ,0,0,16
Plantain Green,OTHER VEGETABLES,83.2,1.4,0.2,0.5,0.7,14,64,10,29,6.27,30,0.05,0.02,0.3,0 ,1.6,16.4,24
Plantain Stem,OTHER VEGETABLES,88.3,0.5,0.1,0.6,0.8,9.7,42,10,10,1.1,0,0.02,0.01,0.2,0 ,0,0,7
Pumpkin Fruit,OTHER VEGETABLES,92.6,1.4,0.1,0.6,0.7,4.6,25,10,30,0.44,50,0.06,0.04,0.5,0 ,3,13,2
Pumpkin Flowers,OTHER VEGETABLES,89.1,2.2,0.8,1.4,0.7,5.8,39,120,60,0,0,0,0,0,0 ,0,0,0
Ridge Gourd,OTHER VEGETABLES,95.2,0.5,0.1,0.3,0.5,3.4,17,18,26,0.39,33,0,0.01,0.2,0 ,0,0,5
Snake Gourd,OTHER VEGETABLES,94.6,0.5,0.3,0.5,0.8,3.3,18,26,20,1.51,96,0.04,0.06,0.3,0 ,7.5,15.5,0
Bottle Gourd,OTHER VEGETABLES,96.1,0.2,0.1,0.5,0.6,2.5,12,20,10,0.46,0,0.03,0.01,0.2,0 ,0,0,0
Brinjal,OTHER VEGETABLES,92.7,1.4,0.3,0.3,1.3,4,24,18,47,0.38,74,0.04,0.11,0.9,0,0 ,5,34
